reseña_id,producto_id,nombre_producto,plataforma,rating,comentario,fecha_review,url,marca,tipo_formato,comentario_limpio,longitud_texto,polaridad,sentimiento
2155469348,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Los pude agarrar en promoción del hot sale, sino fuera así no los habría comprado, 13k me parece una exageración, sin embargo la calidad de los materiales y la experiencia mas si los usas con un producto de apple es muy buena.",Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,pude agarrar promoción hot sale sino así comprado parece exageración embargo calidad materiales experiencia mas usas producto apple buena,226,0.25,Positivo
2116140610,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Son más ligeros que los de la primera generación y su acústica es increíble, una compra costosa pero vale la pena.",Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,ligeros primera generación acústica increíble compra costosa vale pena,114,0.0,Neutral
2107322836,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Está bueno, sólo que cuando se conecta a una lap con el cable aveces suena raro.",Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,bueno sólo conecta lap cable aveces suena raro,80,0.0,Neutral
2101758296,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Excelente por el precio de la oferta, y por la calidad de sonido, y el aislamiento de ruido, se conecta rápido entre tus dispositivos apple.",Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,excelente precio oferta calidad sonido aislamiento ruido conecta rápido dispositivos apple,140,0.0,Neutral
2095134018,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Excelentes audífonos.,Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,excelentes audífonos,21,0.0,Neutral
2024911677,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Ampliamente recomendado apple siempre con excelente calidad.,Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,ampliamente recomendado apple siempre excelente calidad,60,0.0,Neutral
1897264300,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Excelente producto , el precio es solo un poco elevado para lo que es pero realmente en cuanto a su sonido, cancelación de ruido y calidad de construcción son excelentes, son un 9 , si tienes un ecosistema apple son los más recomendables, o si tienes ipad y iphone es lo mejor que puedes comprar, valen totalmente la pena.",Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,excelente producto precio solo elevado realmente cuanto sonido cancelación ruido calidad construcción excelentes ecosistema apple recomendables ipad iphone mejor puedes comprar valen totalmente pena,322,0.0,Neutral
1895949082,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,La verdad me encantaron. Súper recomendados. 10/10.,Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,verdad encantaron súper recomendados,51,0.0,Neutral
1847721412,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"10/10 originales, ya les puse el applecare y todo perfecto.",Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,originales puse applecare perfecto,59,0.0,Neutral
1838567328,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Soy hipersensible sensorial, los ladridos de perro y sonidos de una construcción aledaña los reduce al mínimo y los hace tolerables. Los uso poco para música, es más para videollamadas, en este último caso la única salvedad es la de no escucharte a ti mismo hablando. De primera calidad como todo producto apple.",Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,hipersensible sensorial ladridos perro sonidos construcción aledaña reduce mínimo hace tolerables uso música videollamadas último caso única salvedad escucharte mismo hablando primera calidad producto apple,312,0.0,Neutral
1812606259,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Excelente sonido y cancelación de ruido. Pero por su precio hay mejores opciones!!.,Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,excelente sonido cancelación ruido precio mejores opciones,83,0.0,Neutral
1717466148,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Genial.,Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,genial,7,0.0,Neutral
1678235299,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Son increíbles la vdd no puedes saber que tan buenos son hasta que los pruebas.,Hace 1 año,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,increíbles vdd puedes saber tan buenos pruebas,79,0.0,Neutral
3036729675,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,Comodidad: algo pesados pero cómodos. Aislamiento: excelente cancelación de ruido.,Hace 3 día,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,comodidad pesados cómodos aislamiento excelente cancelación ruido,82,0.0,Neutral
3052026454,MLM1066705967,Apple AirPods Max 2,Mercado Libre,4.0,Gran producto la calidad se nota en cada uno de los componentes y el funcionamiento que brinda tecnológicamente es grandioso.,Hoy,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,gran producto calidad nota cada componentes funcionamiento brinda tecnológicamente grandioso,125,0.0,Neutral
2973427221,MLM1066705967,Apple AirPods Max 2,Mercado Libre,5.0,"Materiales: de buena calidad. Sonido: los graves , y agudos de exelente calida. Muy buenos para ir al gym.",Hace 1 mes,https://www.mercadolibre.com.mx/airpods-max-2-azul-distribuidor-autorizado/p/MLM1066705967,Apple,Over-Ear,materiales buena calidad sonido graves agudos exelente calida buenos gym,106,0.0,Neutral
