review_id,product_id,date_id,sentiment_id,review_type_id,cluster_id,rating,review_length
2532931818,MLM42305910,20251208,1,3,0,4.0,838
2187133081,MLM42305910,20250805,2,1,2,5.0,0
2004617013,MLM42305910,20250805,1,2,0,5.0,129
1624913543,MLM42305910,20250805,1,1,2,5.0,4
1310512264,MLM42305910,20260805,2,1,2,5.0,0
3042231337,MLM42305910,20260805,1,2,1,5.0,117
3051983952,MLM42305910,20260805,1,2,0,5.0,82
3043837734,MLM42305910,20260730,1,2,2,5.0,179
3021128781,MLM42305910,20260805,1,1,2,5.0,6
2999875794,MLM42305910,20260706,1,2,2,5.0,173
2968152787,MLM42305910,20260706,1,3,0,5.0,247
2945817767,MLM42305910,20260706,1,2,2,5.0,58
2929692383,MLM42305910,20260606,1,3,0,5.0,207
2919601537,MLM42305910,20260606,1,2,2,5.0,143
2895521790,MLM42305910,20260606,1,3,2,5.0,223
2880348517,MLM42305910,20260606,2,1,2,5.0,0
2830715949,MLM42305910,20260507,1,2,2,5.0,135
2825612881,MLM42305910,20260507,1,2,0,5.0,167
2773628173,MLM42305910,20260407,1,1,3,5.0,28
2724693685,MLM42305910,20260308,1,2,0,5.0,118
2733186470,MLM42305910,20260308,1,3,2,5.0,280
2706789565,MLM42305910,20260206,1,3,0,5.0,205
2701009024,MLM42305910,20260206,1,2,0,5.0,174
2673075921,MLM42305910,20260206,1,2,2,5.0,98
2667320532,MLM42305910,20260206,1,2,2,5.0,179
2636468349,MLM42305910,20260107,1,3,1,5.0,206
2632213116,MLM42305910,20260107,2,1,2,5.0,0
2626849380,MLM42305910,20260107,1,3,0,5.0,208
2618422769,MLM42305910,20260107,1,3,2,5.0,283
2619799458,MLM42305910,20260107,1,2,0,5.0,156
2579593769,MLM42305910,20260107,1,3,2,5.0,214
2542465279,MLM42305910,20251208,1,2,0,5.0,76
2517032317,MLM42305910,20251208,1,2,2,5.0,78
2515961667,MLM42305910,20251208,1,3,2,5.0,208
2506075839,MLM42305910,20251208,1,2,2,5.0,119
2181732000,MLM42305910,20250805,1,3,0,5.0,260
1583277211,MLM42305910,20250805,1,2,3,5.0,121
1187742866,MLM42305910,20260805,1,3,2,5.0,230
849369124,MLM42305910,20260805,2,1,2,5.0,0
3042098781,MLM42305910,20260805,1,2,2,5.0,153
3032161014,MLM42305910,20260805,1,2,2,4.0,135
2998226921,MLM42305910,20260805,1,3,2,5.0,433
2995895406,MLM42305910,20260706,1,1,3,5.0,18
2960250163,MLM42305910,20260706,1,2,0,5.0,169
2952957807,MLM42305910,20260706,1,3,2,5.0,429
2938265139,MLM42305910,20260606,1,3,2,4.0,888
2931680465,MLM42305910,20260606,1,2,0,5.0,70
2935549420,MLM42305910,20260606,1,3,0,5.0,248
2915543766,MLM42305910,20260606,1,2,2,5.0,130
2882109873,MLM42305910,20260606,1,3,2,5.0,271
2885177582,MLM42305910,20260507,1,3,0,5.0,338
2883302374,MLM42305910,20260507,1,2,2,5.0,114
2872924077,MLM42305910,20260507,1,3,0,5.0,306
2874250242,MLM42305910,20260507,1,3,0,5.0,615
2862492775,MLM42305910,20260507,1,2,1,5.0,71
2860302419,MLM42305910,20260507,1,2,0,5.0,66
2863792646,MLM42305910,20260507,1,3,0,5.0,335
2863478860,MLM42305910,20260507,1,2,0,5.0,69
2849987569,MLM42305910,20260507,1,2,2,5.0,149
2847369926,MLM42305910,20260507,1,3,0,5.0,292
2838548944,MLM42305910,20260507,1,2,0,5.0,151
2825396037,MLM42305910,20260507,1,3,0,5.0,239
2798512027,MLM42305910,20260407,1,2,3,5.0,94
2772238802,MLM42305910,20260308,1,2,2,5.0,66
2759189351,MLM42305910,20260308,1,3,2,5.0,636
2752566864,MLM42305910,20260308,1,1,2,5.0,16
2748336132,MLM42305910,20260308,1,1,3,5.0,32
2737527947,MLM42305910,20260308,1,2,2,5.0,106
2733742549,MLM42305910,20260308,2,1,2,5.0,0
2724604851,MLM42305910,20260308,1,2,0,5.0,140
2724546261,MLM42305910,20260308,1,2,0,5.0,104
2728639686,MLM42305910,20260206,1,1,1,5.0,10
2726628350,MLM42305910,20260206,1,2,2,5.0,142
2711829363,MLM42305910,20260206,1,3,2,5.0,284
2710702252,MLM42305910,20260206,2,1,2,5.0,0
2699037207,MLM42305910,20260206,1,2,3,5.0,106
2707269312,MLM42305910,20260206,1,2,0,5.0,150
2692718784,MLM42305910,20260206,1,2,0,5.0,76
2690834816,MLM42305910,20260206,1,2,1,5.0,69
